Empresa,Departamento,Modalidad Contractual,Mes,Líneas
Telefónica del Perú S.A.A.,Arequipa,Postpago,Feb-16,56524
Telefónica del Perú S.A.A.,Ayacucho,Postpago,Feb-16,14039
Telefónica del Perú S.A.A.,Cajamarca,Postpago,Feb-16,25077
Telefónica del Perú S.A.A.,Callao,Postpago,Feb-16,46866
Telefónica del Perú S.A.A.,Cusco,Postpago,Feb-16,22606
Telefónica del Perú S.A.A.,Huancavelica,Postpago,Feb-16,3675
Telefónica del Perú S.A.A.,Huánuco,Postpago,Feb-16,12424
Telefónica del Perú S.A.A.,Ica,Postpago,Feb-16,24550
Telefónica del Perú S.A.A.,Junín,Postpago,Feb-16,29878
Telefónica del Perú S.A.A.,La Libertad,Postpago,Feb-16,56638
Telefónica del Perú S.A.A.,Lambayeque,Postpago,Feb-16,42103
Telefónica del Perú S.A.A.,Lima,Postpago,Feb-16,519921
Telefónica del Perú S.A.A.,Loreto,Postpago,Feb-16,18437
Telefónica del Perú S.A.A.,Madre de Dios,Postpago,Feb-16,1975
Telefónica del Perú S.A.A.,Moquegua,Postpago,Feb-16,9096
Telefónica del Perú S.A.A.,Pasco,Postpago,Feb-16,4590
Telefónica del Perú S.A.A.,Piura,Postpago,Feb-16,49355
Telefónica del Perú S.A.A.,Puno,Postpago,Feb-16,13704
Telefónica del Perú S.A.A.,San Martín,Postpago,Feb-16,23041
Telefónica del Perú S.A.A.,Tacna,Postpago,Feb-16,13747
Telefónica del Perú S.A.A.,Tumbes,Postpago,Feb-16,8535
Telefónica del Perú S.A.A.,Ucayali,Postpago,Feb-16,13421
Telefónica del Perú S.A.A.,Sin LAC,Postpago,Feb-16,134544
Telefónica del Perú S.A.A.,Amazonas,Prepago,Feb-16,108807
Telefónica del Perú S.A.A.,Áncash,Prepago,Feb-16,352625
Telefónica del Perú S.A.A.,Apurímac,Prepago,Feb-16,94093
Telefónica del Perú S.A.A.,Arequipa,Prepago,Feb-16,395601
Telefónica del Perú S.A.A.,Ayacucho,Prepago,Feb-16,229817
Telefónica del Perú S.A.A.,Cajamarca,Prepago,Feb-16,454438
Telefónica del Perú S.A.A.,Callao,Prepago,Feb-16,185615
Telefónica del Perú S.A.A.,Cusco,Prepago,Feb-16,235653
Telefónica del Perú S.A.A.,Huancavelica,Prepago,Feb-16,74099
Telefónica del Perú S.A.A.,Huánuco,Prepago,Feb-16,167168
Telefónica del Perú S.A.A.,Ica,Prepago,Feb-16,281808
Telefónica del Perú S.A.A.,Junín,Prepago,Feb-16,397447
Telefónica del Perú S.A.A.,La Libertad,Prepago,Feb-16,501442
Telefónica del Perú S.A.A.,Lambayeque,Prepago,Feb-16,414781
Telefónica del Perú S.A.A.,Lima,Prepago,Feb-16,2054534
Telefónica del Perú S.A.A.,Loreto,Prepago,Feb-16,211506
Telefónica del Perú S.A.A.,Madre de Dios,Prepago,Feb-16,12319
Telefónica del Perú S.A.A.,Moquegua,Prepago,Feb-16,60727
Telefónica del Perú S.A.A.,Pasco,Prepago,Feb-16,83573
Telefónica del Perú S.A.A.,Piura,Prepago,Feb-16,567978
Telefónica del Perú S.A.A.,Puno,Prepago,Feb-16,423206
Telefónica del Perú S.A.A.,San Martín,Prepago,Feb-16,277250
Telefónica del Perú S.A.A.,Tacna,Prepago,Feb-16,141335
Telefónica del Perú S.A.A.,Tumbes,Prepago,Feb-16,69186
Telefónica del Perú S.A.A.,Ucayali,Prepago,Feb-16,158404
Telefónica del Perú S.A.A.,Sin LAC,Prepago,Feb-16,4274662
Viettel Perú S.A.C.,Amazonas,Control,Feb-16,2554
Viettel Perú S.A.C.,Áncash,Control,Feb-16,6637
Viettel Perú S.A.C.,Apurímac,Control,Feb-16,1796
Viettel Perú S.A.C.,Arequipa,Control,Feb-16,10008
Viettel Perú S.A.C.,Ayacucho,Control,Feb-16,6204
Viettel Perú S.A.C.,Cajamarca,Control,Feb-16,9448
Viettel Perú S.A.C.,Callao,Control,Feb-16,5717
Viettel Perú S.A.C.,Cusco,Control,Feb-16,9608
Viettel Perú S.A.C.,Huancavelica,Control,Feb-16,1606
Viettel Perú S.A.C.,Huánuco,Control,Feb-16,5426
Viettel Perú S.A.C.,Ica,Control,Feb-16,3563
Viettel Perú S.A.C.,Junín,Control,Feb-16,8424
Viettel Perú S.A.C.,La Libertad,Control,Feb-16,5981
Viettel Perú S.A.C.,Lambayeque,Control,Feb-16,4395
Viettel Perú S.A.C.,Lima,Control,Feb-16,56575
Viettel Perú S.A.C.,Loreto,Control,Feb-16,5505
Viettel Perú S.A.C.,Madre de Dios,Control,Feb-16,1958
Viettel Perú S.A.C.,Moquegua,Control,Feb-16,2796
Viettel Perú S.A.C.,Pasco,Control,Feb-16,2560
Viettel Perú S.A.C.,Piura,Control,Feb-16,4281
Viettel Perú S.A.C.,Puno,Control,Feb-16,12751
Viettel Perú S.A.C.,San Martín,Control,Feb-16,4267
Viettel Perú S.A.C.,Tacna,Control,Feb-16,5147
Viettel Perú S.A.C.,Tumbes,Control,Feb-16,1287
Viettel Perú S.A.C.,Ucayali,Control,Feb-16,2206
Viettel Perú S.A.C.,Sin LAC,Control,Feb-16,0
Viettel Perú S.A.C.,Amazonas,Postpago,Feb-16,0
Viettel Perú S.A.C.,Áncash,Postpago,Feb-16,2
Viettel Perú S.A.C.,Apurímac,Postpago,Feb-16,0
Viettel Perú S.A.C.,Arequipa,Postpago,Feb-16,3
Viettel Perú S.A.C.,Ayacucho,Postpago,Feb-16,1
Viettel Perú S.A.C.,Cajamarca,Postpago,Feb-16,0
Viettel Perú S.A.C.,Callao,Postpago,Feb-16,1
Viettel Perú S.A.C.,Cusco,Postpago,Feb-16,0
Viettel Perú S.A.C.,Huancavelica,Postpago,Feb-16,0
Viettel Perú S.A.C.,Huánuco,Postpago,Feb-16,0
Viettel Perú S.A.C.,Ica,Postpago,Feb-16,1
Viettel Perú S.A.C.,Junín,Postpago,Feb-16,2
Viettel Perú S.A.C.,La Libertad,Postpago,Feb-16,1
Viettel Perú S.A.C.,Lambayeque,Postpago,Feb-16,1
Viettel Perú S.A.C.,Lima,Postpago,Feb-16,19
Viettel Perú S.A.C.,Loreto,Postpago,Feb-16,0
Viettel Perú S.A.C.,Madre de Dios,Postpago,Feb-16,0
Viettel Perú S.A.C.,Moquegua,Postpago,Feb-16,1
Viettel Perú S.A.C.,Pasco,Postpago,Feb-16,0
Viettel Perú S.A.C.,Piura,Postpago,Feb-16,0
Viettel Perú S.A.C.,Puno,Postpago,Feb-16,4
Viettel Perú S.A.C.,San Martín,Postpago,Feb-16,0
Viettel Perú S.A.C.,Tacna,Postpago,Feb-16,0
Viettel Perú S.A.C.,Tumbes,Postpago,Feb-16,1
Viettel Perú S.A.C.,Ucayali,Postpago,Feb-16,0
Viettel Perú S.A.C.,Amazonas,Prepago,Feb-16,15481
Viettel Perú S.A.C.,Áncash,Prepago,Feb-16,56514
Viettel Perú S.A.C.,Apurímac,Prepago,Feb-16,14994
Viettel Perú S.A.C.,Arequipa,Prepago,Feb-16,62272
Viettel Perú S.A.C.,Ayacucho,Prepago,Feb-16,28194
Viettel Perú S.A.C.,Cajamarca,Prepago,Feb-16,44514
Viettel Perú S.A.C.,Callao,Prepago,Feb-16,37140
Viettel Perú S.A.C.,Cusco,Prepago,Feb-16,62012
Viettel Perú S.A.C.,Huancavelica,Prepago,Feb-16,11854
Viettel Perú S.A.C.,Huánuco,Prepago,Feb-16,39564
Viettel Perú S.A.C.,Ica,Prepago,Feb-16,32533
Viettel Perú S.A.C.,Junín,Prepago,Feb-16,52828
Viettel Perú S.A.C.,La Libertad,Prepago,Feb-16,66739
Viettel Perú S.A.C.,Lambayeque,Prepago,Feb-16,49815
Viettel Perú S.A.C.,Lima,Prepago,Feb-16,412021
Viettel Perú S.A.C.,Loreto,Prepago,Feb-16,30975
Viettel Perú S.A.C.,Madre de Dios,Prepago,Feb-16,13955
Viettel Perú S.A.C.,Moquegua,Prepago,Feb-16,14483
Viettel Perú S.A.C.,Pasco,Prepago,Feb-16,10799
Viettel Perú S.A.C.,Piura,Prepago,Feb-16,64185
Viettel Perú S.A.C.,Puno,Prepago,Feb-16,76398
Viettel Perú S.A.C.,San Martín,Prepago,Feb-16,40942
Viettel Perú S.A.C.,Tacna,Prepago,Feb-16,29656
Viettel Perú S.A.C.,Tumbes,Prepago,Feb-16,9333
Viettel Perú S.A.C.,Ucayali,Prepago,Feb-16,16671
América Móvil Perú S.A.C.,Amazonas,Control,Mar-16,2
América Móvil Perú S.A.C.,Áncash,Control,Mar-16,25
América Móvil Perú S.A.C.,Apurímac,Control,Mar-16,4
América Móvil Perú S.A.C.,Arequipa,Control,Mar-16,226
América Móvil Perú S.A.C.,Ayacucho,Control,Mar-16,3
América Móvil Perú S.A.C.,Cajamarca,Control,Mar-16,13
América Móvil Perú S.A.C.,Callao,Control,Mar-16,90
América Móvil Perú S.A.C.,Cusco,Control,Mar-16,99
América Móvil Perú S.A.C.,Huancavelica,Control,Mar-16,2
América Móvil Perú S.A.C.,Huánuco,Control,Mar-16,2
América Móvil Perú S.A.C.,Ica,Control,Mar-16,27
América Móvil Perú S.A.C.,Junín,Control,Mar-16,21
América Móvil Perú S.A.C.,La Libertad,Control,Mar-16,139
América Móvil Perú S.A.C.,Lambayeque,Control,Mar-16,48
América Móvil Perú S.A.C.,Lima,Control,Mar-16,1648
América Móvil Perú S.A.C.,Loreto,Control,Mar-16,11
América Móvil Perú S.A.C.,Madre de Dios,Control,Mar-16,7
América Móvil Perú S.A.C.,Moquegua,Control,Mar-16,18
América Móvil Perú S.A.C.,Pasco,Control,Mar-16,1
América Móvil Perú S.A.C.,Piura,Control,Mar-16,34
América Móvil Perú S.A.C.,Puno,Control,Mar-16,8
América Móvil Perú S.A.C.,San Martín,Control,Mar-16,2
América Móvil Perú S.A.C.,Tacna,Control,Mar-16,49
América Móvil Perú S.A.C.,Tumbes,Control,Mar-16,2
América Móvil Perú S.A.C.,Ucayali,Control,Mar-16,3
América Móvil Perú S.A.C.,Sin LAC,Control,Mar-16,774
América Móvil Perú S.A.C.,Amazonas,Postpago,Mar-16,9804
América Móvil Perú S.A.C.,Áncash,Postpago,Mar-16,53357
América Móvil Perú S.A.C.,Apurímac,Postpago,Mar-16,36015
América Móvil Perú S.A.C.,Arequipa,Postpago,Mar-16,297415
América Móvil Perú S.A.C.,Ayacucho,Postpago,Mar-16,26122
América Móvil Perú S.A.C.,Cajamarca,Postpago,Mar-16,69966
América Móvil Perú S.A.C.,Callao,Postpago,Mar-16,139194
América Móvil Perú S.A.C.,Cusco,Postpago,Mar-16,179470
América Móvil Perú S.A.C.,Huancavelica,Postpago,Mar-16,14790
América Móvil Perú S.A.C.,Huánuco,Postpago,Mar-16,40361
América Móvil Perú S.A.C.,Ica,Postpago,Mar-16,70315
América Móvil Perú S.A.C.,Junín,Postpago,Mar-16,76859
América Móvil Perú S.A.C.,La Libertad,Postpago,Mar-16,200145
América Móvil Perú S.A.C.,Lambayeque,Postpago,Mar-16,61040
América Móvil Perú S.A.C.,Lima,Postpago,Mar-16,2002100
América Móvil Perú S.A.C.,Loreto,Postpago,Mar-16,14670
América Móvil Perú S.A.C.,Madre de Dios,Postpago,Mar-16,29181
América Móvil Perú S.A.C.,Moquegua,Postpago,Mar-16,24452
América Móvil Perú S.A.C.,Pasco,Postpago,Mar-16,13773
América Móvil Perú S.A.C.,Piura,Postpago,Mar-16,67406
América Móvil Perú S.A.C.,Puno,Postpago,Mar-16,78461
América Móvil Perú S.A.C.,San Martín,Postpago,Mar-16,19411
América Móvil Perú S.A.C.,Tacna,Postpago,Mar-16,32977
América Móvil Perú S.A.C.,Tumbes,Postpago,Mar-16,9617
América Móvil Perú S.A.C.,Ucayali,Postpago,Mar-16,14765
América Móvil Perú S.A.C.,Sin LAC,Postpago,Mar-16,522397
América Móvil Perú S.A.C.,Amazonas,Prepago,Mar-16,49187
América Móvil Perú S.A.C.,Áncash,Prepago,Mar-16,154166
América Móvil Perú S.A.C.,Apurímac,Prepago,Mar-16,128057
América Móvil Perú S.A.C.,Arequipa,Prepago,Mar-16,380281
América Móvil Perú S.A.C.,Ayacucho,Prepago,Mar-16,115404
América Móvil Perú S.A.C.,Cajamarca,Prepago,Mar-16,206665
América Móvil Perú S.A.C.,Callao,Prepago,Mar-16,235815
América Móvil Perú S.A.C.,Cusco,Prepago,Mar-16,465364
América Móvil Perú S.A.C.,Huancavelica,Prepago,Mar-16,112799
América Móvil Perú S.A.C.,Huánuco,Prepago,Mar-16,201753
América Móvil Perú S.A.C.,Ica,Prepago,Mar-16,121728
América Móvil Perú S.A.C.,Junín,Prepago,Mar-16,235972
América Móvil Perú S.A.C.,La Libertad,Prepago,Mar-16,357725
América Móvil Perú S.A.C.,Lambayeque,Prepago,Mar-16,110255
América Móvil Perú S.A.C.,Lima,Prepago,Mar-16,2894859
América Móvil Perú S.A.C.,Loreto,Prepago,Mar-16,48266
América Móvil Perú S.A.C.,Madre de Dios,Prepago,Mar-16,99482
América Móvil Perú S.A.C.,Moquegua,Prepago,Mar-16,30305
América Móvil Perú S.A.C.,Pasco,Prepago,Mar-16,43413
América Móvil Perú S.A.C.,Piura,Prepago,Mar-16,171054
América Móvil Perú S.A.C.,Puno,Prepago,Mar-16,369365
América Móvil Perú S.A.C.,San Martín,Prepago,Mar-16,67566
América Móvil Perú S.A.C.,Tacna,Prepago,Mar-16,38297
América Móvil Perú S.A.C.,Tumbes,Prepago,Mar-16,16206
América Móvil Perú S.A.C.,Ucayali,Prepago,Mar-16,36578
América Móvil Perú S.A.C.,Sin LAC,Prepago,Mar-16,1272344
Entel Perú S.A.,Amazonas,Control,Mar-16,363
Entel Perú S.A.,Áncash,Control,Mar-16,44389
Entel Perú S.A.,Apurímac,Control,Mar-16,1026
Entel Perú S.A.,Arequipa,Control,Mar-16,56915
Entel Perú S.A.,Ayacucho,Control,Mar-16,4419
Entel Perú S.A.,Cajamarca,Control,Mar-16,10837
Entel Perú S.A.,Callao,Control,Mar-16,78351
Entel Perú S.A.,Cusco,Control,Mar-16,19825
Entel Perú S.A.,Huancavelica,Control,Mar-16,2803
Entel Perú S.A.,Huánuco,Control,Mar-16,8423
Entel Perú S.A.,Ica,Control,Mar-16,45186
Entel Perú S.A.,Junín,Control,Mar-16,27033
Entel Perú S.A.,La Libertad,Control,Mar-16,42468
Entel Perú S.A.,Lambayeque,Control,Mar-16,24180
Entel Perú S.A.,Lima,Control,Mar-16,733209
Entel Perú S.A.,Loreto,Control,Mar-16,5620
Entel Perú S.A.,Madre de Dios,Control,Mar-16,1339
Entel Perú S.A.,Moquegua,Control,Mar-16,5331
Entel Perú S.A.,Pasco,Control,Mar-16,3232
Entel Perú S.A.,Piura,Control,Mar-16,54041
Entel Perú S.A.,Puno,Control,Mar-16,17820
Entel Perú S.A.,San Martín,Control,Mar-16,1295
Entel Perú S.A.,Tacna,Control,Mar-16,11777
Entel Perú S.A.,Tumbes,Control,Mar-16,2821
Entel Perú S.A.,Ucayali,Control,Mar-16,3277
Entel Perú S.A.,Sin LAC,Control,Mar-16,185437
Entel Perú S.A.,Amazonas,Postpago,Mar-16,4
Entel Perú S.A.,Áncash,Postpago,Mar-16,647
Entel Perú S.A.,Apurímac,Postpago,Mar-16,6
Entel Perú S.A.,Arequipa,Postpago,Mar-16,1643
Entel Perú S.A.,Ayacucho,Postpago,Mar-16,87
Entel Perú S.A.,Cajamarca,Postpago,Mar-16,279
Entel Perú S.A.,Callao,Postpago,Mar-16,1752
Entel Perú S.A.,Cusco,Postpago,Mar-16,618
Entel Perú S.A.,Huancavelica,Postpago,Mar-16,76
Entel Perú S.A.,Huánuco,Postpago,Mar-16,319
Entel Perú S.A.,Ica,Postpago,Mar-16,815
Entel Perú S.A.,Junín,Postpago,Mar-16,536
Entel Perú S.A.,La Libertad,Postpago,Mar-16,1152
Entel Perú S.A.,Lambayeque,Postpago,Mar-16,702
Entel Perú S.A.,Lima,Postpago,Mar-16,22433
Entel Perú S.A.,Loreto,Postpago,Mar-16,101
Entel Perú S.A.,Madre de Dios,Postpago,Mar-16,8
Entel Perú S.A.,Moquegua,Postpago,Mar-16,162
Entel Perú S.A.,Pasco,Postpago,Mar-16,104
Entel Perú S.A.,Piura,Postpago,Mar-16,1459
Entel Perú S.A.,Puno,Postpago,Mar-16,422
Entel Perú S.A.,San Martín,Postpago,Mar-16,30
Entel Perú S.A.,Tacna,Postpago,Mar-16,366
Entel Perú S.A.,Tumbes,Postpago,Mar-16,99
Entel Perú S.A.,Ucayali,Postpago,Mar-16,25
Entel Perú S.A.,Sin LAC,Postpago,Mar-16,9797
Entel Perú S.A.,Amazonas,Prepago,Mar-16,984
Entel Perú S.A.,Áncash,Prepago,Mar-16,74796
Entel Perú S.A.,Apurímac,Prepago,Mar-16,3221
Entel Perú S.A.,Arequipa,Prepago,Mar-16,64037
Entel Perú S.A.,Ayacucho,Prepago,Mar-16,9303
Entel Perú S.A.,Cajamarca,Prepago,Mar-16,23863
Entel Perú S.A.,Callao,Prepago,Mar-16,83074
Entel Perú S.A.,Cusco,Prepago,Mar-16,22039
Entel Perú S.A.,Huancavelica,Prepago,Mar-16,3639
Entel Perú S.A.,Huánuco,Prepago,Mar-16,15206
Entel Perú S.A.,Ica,Prepago,Mar-16,69514
Entel Perú S.A.,Junín,Prepago,Mar-16,45082
Entel Perú S.A.,La Libertad,Prepago,Mar-16,46603
Entel Perú S.A.,Lambayeque,Prepago,Mar-16,47327
Entel Perú S.A.,Lima,Prepago,Mar-16,661466
Entel Perú S.A.,Loreto,Prepago,Mar-16,10350
Entel Perú S.A.,Madre de Dios,Prepago,Mar-16,2252
Entel Perú S.A.,Moquegua,Prepago,Mar-16,4134
Entel Perú S.A.,Pasco,Prepago,Mar-16,3649
Entel Perú S.A.,Piura,Prepago,Mar-16,67366
Entel Perú S.A.,Puno,Prepago,Mar-16,41829
Entel Perú S.A.,San Martín,Prepago,Mar-16,4257
Entel Perú S.A.,Tacna,Prepago,Mar-16,15798
Entel Perú S.A.,Tumbes,Prepago,Mar-16,7369
Entel Perú S.A.,Ucayali,Prepago,Mar-16,8869
Entel Perú S.A.,Sin LAC,Prepago,Mar-16,921893
Telefónica del Perú S.A.A.,Amazonas,Control,Mar-16,55495
Telefónica del Perú S.A.A.,Áncash,Control,Mar-16,161294
Telefónica del Perú S.A.A.,Apurímac,Control,Mar-16,34224
Telefónica del Perú S.A.A.,Arequipa,Control,Mar-16,191817
Telefónica del Perú S.A.A.,Ayacucho,Control,Mar-16,108187
Telefónica del Perú S.A.A.,Cajamarca,Control,Mar-16,191104
Telefónica del Perú S.A.A.,Callao,Control,Mar-16,127310
Telefónica del Perú S.A.A.,Cusco,Control,Mar-16,73978
Telefónica del Perú S.A.A.,Huancavelica,Control,Mar-16,28421
Telefónica del Perú S.A.A.,Huánuco,Control,Mar-16,82676
Telefónica del Perú S.A.A.,Ica,Control,Mar-16,124425
Telefónica del Perú S.A.A.,Junín,Control,Mar-16,191646
Telefónica del Perú S.A.A.,La Libertad,Control,Mar-16,293071
Telefónica del Perú S.A.A.,Lambayeque,Control,Mar-16,248555
Telefónica del Perú S.A.A.,Lima,Control,Mar-16,1153085
Telefónica del Perú S.A.A.,Loreto,Control,Mar-16,111457
Telefónica del Perú S.A.A.,Madre de Dios,Control,Mar-16,5822
Telefónica del Perú S.A.A.,Moquegua,Control,Mar-16,42442
Telefónica del Perú S.A.A.,Pasco,Control,Mar-16,40736
Telefónica del Perú S.A.A.,Piura,Control,Mar-16,285442
Telefónica del Perú S.A.A.,Puno,Control,Mar-16,101240
Telefónica del Perú S.A.A.,San Martín,Control,Mar-16,152052
Telefónica del Perú S.A.A.,Tacna,Control,Mar-16,73762
Telefónica del Perú S.A.A.,Tumbes,Control,Mar-16,54546
Telefónica del Perú S.A.A.,Ucayali,Control,Mar-16,94859
Telefónica del Perú S.A.A.,Sin LAC,Control,Mar-16,288707
Telefónica del Perú S.A.A.,Amazonas,Postpago,Mar-16,6569
Telefónica del Perú S.A.A.,Áncash,Postpago,Mar-16,25308
Telefónica del Perú S.A.A.,Apurímac,Postpago,Mar-16,5875
Telefónica del Perú S.A.A.,Arequipa,Postpago,Mar-16,54505
Telefónica del Perú S.A.A.,Ayacucho,Postpago,Mar-16,14163
Telefónica del Perú S.A.A.,Cajamarca,Postpago,Mar-16,24458
Telefónica del Perú S.A.A.,Callao,Postpago,Mar-16,45381
Telefónica del Perú S.A.A.,Cusco,Postpago,Mar-16,22827
Telefónica del Perú S.A.A.,Huancavelica,Postpago,Mar-16,4027
Telefónica del Perú S.A.A.,Huánuco,Postpago,Mar-16,12450
Telefónica del Perú S.A.A.,Ica,Postpago,Mar-16,23624
Telefónica del Perú S.A.A.,Junín,Postpago,Mar-16,30121
Telefónica del Perú S.A.A.,La Libertad,Postpago,Mar-16,54510
Telefónica del Perú S.A.A.,Lambayeque,Postpago,Mar-16,39685
Telefónica del Perú S.A.A.,Lima,Postpago,Mar-16,511401
Telefónica del Perú S.A.A.,Loreto,Postpago,Mar-16,18068
Telefónica del Perú S.A.A.,Madre de Dios,Postpago,Mar-16,2075
Telefónica del Perú S.A.A.,Moquegua,Postpago,Mar-16,8796
Telefónica del Perú S.A.A.,Pasco,Postpago,Mar-16,4962
Telefónica del Perú S.A.A.,Piura,Postpago,Mar-16,48023
Telefónica del Perú S.A.A.,Puno,Postpago,Mar-16,13894
Telefónica del Perú S.A.A.,San Martín,Postpago,Mar-16,22495
Telefónica del Perú S.A.A.,Tacna,Postpago,Mar-16,13590
Telefónica del Perú S.A.A.,Tumbes,Postpago,Mar-16,8214
Telefónica del Perú S.A.A.,Ucayali,Postpago,Mar-16,13355
Telefónica del Perú S.A.A.,Sin LAC,Postpago,Mar-16,131027
Telefónica del Perú S.A.A.,Amazonas,Prepago,Mar-16,109125
Telefónica del Perú S.A.A.,Áncash,Prepago,Mar-16,356055
Telefónica del Perú S.A.A.,Apurímac,Prepago,Mar-16,96745
Telefónica del Perú S.A.A.,Arequipa,Prepago,Mar-16,383878
Telefónica del Perú S.A.A.,Ayacucho,Prepago,Mar-16,235591
Telefónica del Perú S.A.A.,Cajamarca,Prepago,Mar-16,458109
Telefónica del Perú S.A.A.,Callao,Prepago,Mar-16,179621
Telefónica del Perú S.A.A.,Cusco,Prepago,Mar-16,237464
Telefónica del Perú S.A.A.,Huancavelica,Prepago,Mar-16,79091
Telefónica del Perú S.A.A.,Huánuco,Prepago,Mar-16,169808
Telefónica del Perú S.A.A.,Ica,Prepago,Mar-16,273317
Telefónica del Perú S.A.A.,Junín,Prepago,Mar-16,399946
Telefónica del Perú S.A.A.,La Libertad,Prepago,Mar-16,492562
Telefónica del Perú S.A.A.,Lambayeque,Prepago,Mar-16,404077
Telefónica del Perú S.A.A.,Lima,Prepago,Mar-16,1976630
Telefónica del Perú S.A.A.,Loreto,Prepago,Mar-16,210724
Telefónica del Perú S.A.A.,Madre de Dios,Prepago,Mar-16,12145
Telefónica del Perú S.A.A.,Moquegua,Prepago,Mar-16,59329
Telefónica del Perú S.A.A.,Pasco,Prepago,Mar-16,87508
Telefónica del Perú S.A.A.,Piura,Prepago,Mar-16,555656
Telefónica del Perú S.A.A.,Puno,Prepago,Mar-16,427236
Telefónica del Perú S.A.A.,San Martín,Prepago,Mar-16,274394
Telefónica del Perú S.A.A.,Tacna,Prepago,Mar-16,135170
Telefónica del Perú S.A.A.,Tumbes,Prepago,Mar-16,67001
Telefónica del Perú S.A.A.,Ucayali,Prepago,Mar-16,152468
Telefónica del Perú S.A.A.,Sin LAC,Prepago,Mar-16,4371415
Viettel Perú S.A.C.,Amazonas,Control,Mar-16,2728
Viettel Perú S.A.C.,Áncash,Control,Mar-16,7133
Viettel Perú S.A.C.,Apurímac,Control,Mar-16,2019
Viettel Perú S.A.C.,Arequipa,Control,Mar-16,11045
Viettel Perú S.A.C.,Ayacucho,Control,Mar-16,6657
Viettel Perú S.A.C.,Cajamarca,Control,Mar-16,10064
Viettel Perú S.A.C.,Callao,Control,Mar-16,6391
Viettel Perú S.A.C.,Cusco,Control,Mar-16,10610
Viettel Perú S.A.C.,Huancavelica,Control,Mar-16,1793
Viettel Perú S.A.C.,Huánuco,Control,Mar-16,5940
Viettel Perú S.A.C.,Ica,Control,Mar-16,3832
Viettel Perú S.A.C.,Junín,Control,Mar-16,9457
Viettel Perú S.A.C.,La Libertad,Control,Mar-16,6571
Viettel Perú S.A.C.,Lambayeque,Control,Mar-16,4860
Viettel Perú S.A.C.,Lima,Control,Mar-16,62950
Viettel Perú S.A.C.,Loreto,Control,Mar-16,5843
Viettel Perú S.A.C.,Madre de Dios,Control,Mar-16,2161
Viettel Perú S.A.C.,Moquegua,Control,Mar-16,3055
Viettel Perú S.A.C.,Pasco,Control,Mar-16,3008
Viettel Perú S.A.C.,Piura,Control,Mar-16,4677
Viettel Perú S.A.C.,Puno,Control,Mar-16,13646
Viettel Perú S.A.C.,San Martín,Control,Mar-16,4568
Viettel Perú S.A.C.,Tacna,Control,Mar-16,5961
Viettel Perú S.A.C.,Tumbes,Control,Mar-16,1376
Viettel Perú S.A.C.,Ucayali,Control,Mar-16,2474
Viettel Perú S.A.C.,Sin LAC,Control,Mar-16,0
Viettel Perú S.A.C.,Amazonas,Postpago,Mar-16,0
Viettel Perú S.A.C.,Áncash,Postpago,Mar-16,2
Viettel Perú S.A.C.,Apurímac,Postpago,Mar-16,0
Viettel Perú S.A.C.,Arequipa,Postpago,Mar-16,3
Viettel Perú S.A.C.,Ayacucho,Postpago,Mar-16,1
Viettel Perú S.A.C.,Cajamarca,Postpago,Mar-16,0
Viettel Perú S.A.C.,Callao,Postpago,Mar-16,1
Viettel Perú S.A.C.,Cusco,Postpago,Mar-16,0
Viettel Perú S.A.C.,Huancavelica,Postpago,Mar-16,0
Viettel Perú S.A.C.,Huánuco,Postpago,Mar-16,0
Viettel Perú S.A.C.,Ica,Postpago,Mar-16,1
Viettel Perú S.A.C.,Junín,Postpago,Mar-16,2
Viettel Perú S.A.C.,La Libertad,Postpago,Mar-16,1
Viettel Perú S.A.C.,Lambayeque,Postpago,Mar-16,1
Viettel Perú S.A.C.,Lima,Postpago,Mar-16,19
Viettel Perú S.A.C.,Loreto,Postpago,Mar-16,0
Viettel Perú S.A.C.,Madre de Dios,Postpago,Mar-16,0
Viettel Perú S.A.C.,Moquegua,Postpago,Mar-16,1
Viettel Perú S.A.C.,Pasco,Postpago,Mar-16,0
Viettel Perú S.A.C.,Piura,Postpago,Mar-16,0
Viettel Perú S.A.C.,Puno,Postpago,Mar-16,4
Viettel Perú S.A.C.,San Martín,Postpago,Mar-16,0
Viettel Perú S.A.C.,Tacna,Postpago,Mar-16,0
Viettel Perú S.A.C.,Tumbes,Postpago,Mar-16,1
Viettel Perú S.A.C.,Ucayali,Postpago,Mar-16,0
Viettel Perú S.A.C.,Amazonas,Prepago,Mar-16,18818
Viettel Perú S.A.C.,Áncash,Prepago,Mar-16,70060
Viettel Perú S.A.C.,Apurímac,Prepago,Mar-16,18350
Viettel Perú S.A.C.,Arequipa,Prepago,Mar-16,78697
Viettel Perú S.A.C.,Ayacucho,Prepago,Mar-16,33568
Viettel Perú S.A.C.,Cajamarca,Prepago,Mar-16,53908
Viettel Perú S.A.C.,Callao,Prepago,Mar-16,44060
Viettel Perú S.A.C.,Cusco,Prepago,Mar-16,74518
Viettel Perú S.A.C.,Huancavelica,Prepago,Mar-16,13863
Viettel Perú S.A.C.,Huánuco,Prepago,Mar-16,47179
Viettel Perú S.A.C.,Ica,Prepago,Mar-16,38719
Viettel Perú S.A.C.,Junín,Prepago,Mar-16,63071
Viettel Perú S.A.C.,La Libertad,Prepago,Mar-16,82337
